#1.WindSpeed,#1.WindSpeedMax,#1.WindDirection,#1.AirTemperature,#1.AirPressure,#1.AirHumidity,#5.WindSpeed,#5.WindSpeedMax,#5.WindDirection,#5.AirTemperature,#5.AirPressure,#5.AirHumidity,#10.WindSpeed,#10.WindSpeedMax,#10.WindDirection,#10.AirTemperature,#10.AirPressure,#10.AirHumidity,#14.WindSpeed,#14.WindSpeedMax,#14.WindDirection,#14.AirTemperature,#14.AirPressure,#14.AirHumidity,#18.WindSpeed,#18.WindSpeedMax,#18.WindDirection,#18.AirTemperature,#18.AirPressure,#18.AirHumidity
8.921428,10.42143,37.64286,26.01429,1014.207,64.07143,3.85,5.850001,45,24.72143,1011.307,66.01429,2.8,4.007143,85.28571,24.42143,1011.793,68.95715,2.842857,3.692857,18.35714,24.8,1011.972,71.55715,3.993333,4.466667,29.06667,24.85333,1011.9,63.98
9.05,10.59286,38.21429,26,1014.093,63.91428,4.371429,6.614285,58.21429,24.90714,1011.121,65.03572,1.65,2.378571,130,24.37143,1011.564,69.27857,3.914286,5.164286,74.92857,25.01429,1011.807,70.08572,4.833334,5.08,32.66667,25.09333,1011.74,62.88667
8.707143,11.13571,33.92857,25.98571,1013.807,63.69286,3.978571,6.185714,43.78571,25.22142,1010.936,63.60001,1.914286,3.021429,111.5714,24.37857,1011.379,69.54285,4.233333,5.32,24.33333,25.14,1011.587,69.52,6.746667,7.073333,43.73333,25.56667,1011.453,60.57334
9.44,10.86,34.53333,26.01333,1013.553,63.43999,4.386667,6.280001,44.46667,25.76666,1010.727,61.2,3.013333,3.906667,102.1333,24.25334,1011.347,70.05334,4,5.385715,48.21429,25.1,1011.457,69.28571,6.866667,7.459999,38.26667,25.96,1011.293,58.45333
8.85,10.78572,32.42857,26.05715,1013.421,63.41428,5.342857,6.764285,31.07143,25.8,1010.557,60.67143,2.071429,2.964286,91.64286,24.10715,1011.3,70.59286,5.192857,7.042857,65.71429,25.10715,1011.179,69.06429,7.480001,8.086666,39.13334,26.19334,1011.113,57.39333
8.814286,10.63571,35,26.03572,1013.229,63.51429,3.842857,5.885715,27.64286,25.67857,1010.393,61.09286,1.7,2.671429,109,24.10715,1011.314,70.55,4.52,6.973333,61.6,25.2,1010.993,69.05334,6.306667,7.14,42.4,26.29333,1010.98,57.15333
8.453334,10.44,33.2,26.1,1013.18,63.5,4.053333,5.133333,105.5333,25.42,1010.353,62.11333,2.246667,3.373334,103.2667,24.34,1011.24,69.44667,5.214285,7.150001,44,25.2,1010.957,69.27143,6.5,7.1,42.86666,26.3,1010.893,56.82666
8.871428,10.6,36.28571,26.02143,1012.921,63.48571,3.642857,4.742858,66.64286,24.96428,1010.214,64.17857,1.864286,2.528571,76.07143,24.5,1011.179,68.83572,3.342857,5.735714,48.07143,25.11429,1010.9,69.57858,4.806666,6.18,75.06667,26.3,1010.8,56.52667
7.864285,9.45,36.42857,25.92143,1012.864,63.7,2.607143,3.585714,131.8571,24.8,1010.143,64.70715,2.342857,3.05,74,24.47857,1011.128,68.83571,4.185714,5.599999,43.5,25.1,1010.85,69.76429,5.046667,5.72,31.26667,26.22667,1010.727,56.61333
8.135715,9.285714,38.21429,25.85,1012.872,63.88572,1.371428,2.392857,216.7857,24.86428,1010.136,64.34286,3.228571,4.142857,88.14286,24.5,1010.922,68.76427,3.36,5.16,67.4,25.06667,1010.853,69.64668,3.946666,4.533333,24.4,26.2,1010.72,56.36666
7.686667,9.306667,43.53333,25.9,1012.933,63.13334,0.9,1.326667,192.3333,24.9,1010.16,63.7,3.993333,4.733333,89.66666,24.47333,1010.833,69.02666,2.714286,3.664285,210.3571,25.10715,1010.936,69.14286,5.059999,5.893333,25.8,26.25333,1010.72,55.68
6.8,8.257143,35.78571,25.9,1012.993,62.78571,2.528572,4.1,70.5,25.38572,1010.157,60.58572,3.907143,5.121429,88,24.35714,1010.757,69.53572,2.235714,3.785714,170.7143,25.2,1010.929,68.72857,4.653334,5.493333,38.2,26.39333,1010.74,54.88667
5.635715,7.692858,31.57143,25.97857,1013,62.12143,1.692857,3.235714,199.1429,25.94286,1010.157,58.75714,3.5,4.385715,89,24.3,1010.714,69.68571,2.74,3.993333,268.8,25.25333,1010.873,68.16666,4.593334,5.513333,33.8,26.45333,1010.72,54.29333
5.153333,7.286667,70,26.08667,1012.947,60.94,2.7,3.426666,81.4,25.96667,1010.053,58.29333,3.86,4.353333,96.26667,24.31333,1010.78,69.63332,2.314286,3.092857,200.5714,25.26429,1010.771,68.04286,4.32,5.166667,27.6,26.5,1010.647,53.46001
4.192857,5.878571,33.78571,26.2,1012.979,60.47143,1.842857,2.714285,156.6429,25.99286,1010.021,58.62143,3.15,4.414286,85.21429,24.36428,1010.786,69.35714,2.9,3.707143,178.2143,25.2,1010.686,67.95714,3.653334,4.06,125.6,26.58,1010.613,53.19333
3.357143,4.964286,122.6429,26.33571,1012.929,59.95,1.542857,2.485714,86.57143,25.97143,1009.993,57.87143,2.835715,4.364286,69.78571,24.4,1010.65,69.02143,1.421429,2.792856,291.4286,25.27143,1010.707,67.45714,4.166667,4.386666,24.66667,26.5,1010.573,53.45333
3.357143,4.685714,117.9286,26.3,1012.857,59.60714,2.421429,3.4,109.6429,26.1,1009.886,57.81429,1.792857,2.785714,100.6429,24.4,1010.514,68.60715,1.786667,2.3,272,25.2,1010.613,67.59334,3.48,4.24,128.6,26.52,1010.487,53.50666
4.353333,5.873333,84.86667,26.42666,1012.713,59.00666,1.706667,3.02,221,25.96,1009.813,58.7,1.286667,1.906667,118.3333,24.44666,1010.32,68.41334,2.4,3.164286,201.5714,25.25714,1010.507,66.97857,3.353333,4.06,222.4667,26.5,1010.42,53.78667
2.764286,4.435714,107.2857,26.46428,1012.65,58.76429,2.071429,2.785715,216.0714,25.6,1009.7,60.08572,1.4,1.842857,156.0714,24.31429,1010.293,69.24285,2.071429,2.828572,274.3571,25.4,1010.386,66.8,3.426667,3.686667,170.8667,26.48667,1010.307,53.76667
4.1,5.628571,100.4286,26.33571,1012.307,59.36429,2.742857,3.892857,95.21429,25.62143,1009.443,59.39286,1.321429,2.128572,116,24.1,1010.271,70.35,2.4,3.426667,226.6667,25.32,1010.187,66.84667,4.24,4.559999,178.4667,26.34666,1010.047,54.24667
3.293333,5.28,95.8,26.33333,1012.253,59.63334,2.26,3.88,167,25.72667,1009.473,59.53333,1.933333,2.72,83.4,23.94,1010.286,70.53333,2.342857,3.485714,199.2857,25.24286,1010.171,67.92857,3.633333,4.546667,220.3333,26.3,1010.027,54.27333
3.078572,4.992857,74.07143,26.40714,1012.407,58.72143,2.021429,3.071428,289.9286,25.50714,1009.571,60.78571,1.728571,2.292857,79.14286,24,1010.2,69.95,1.585714,2.914286,281.5,25.2,1010.329,67.6143,2.186667,2.64,291.9333,26.26667,1010.187,54.75333
1.55,2.807143,233.7857,26.53572,1012.686,58.98571,2.628571,3.35,324.0714,25.27143,1009.586,62.02143,2.064286,2.835715,101.5714,24,1010.2,70.07858,1.985714,2.592857,215.4286,25.28571,1010.293,67.54285,2.986667,3.613334,279,26.12667,1010.227,55.98667
3.321429,3.714286,133.5714,26.24286,1012.486,59.92144,3.392857,4.628572,156.7143,25.27143,1009.343,61.92857,1.728572,2.542857,82.85714,24.05715,1010.136,70.36429,2.653333,3.42,102.7333,25.26,1010.067,68.00667,3.026667,3.426667,184.2,25.91999,1010.067,57.11334
5.686666,6.779999,51.53333,26.25333,1012.1,60.96667,2.84,3.666667,65.46667,25.4,1009.213,61.34001,2.3,2.726666,92,24,1010.233,70.84,4.114285,5.378571,61.35714,25.42143,1009.829,66.89286,3.613333,4.139999,58.53333,25.74,1009.82,57.65333
6.042857,7.949999,58.57143,26.2,1012.107,60.75714,0.7642857,1.507143,195.6429,25.48571,1009.407,60.97857,2.4,3.164286,118.8571,24,1010.693,71.18572,2.621428,4.614286,26.57143,25.57143,1010.093,66.33571,3.873333,4.253333,22.2,25.85333,1009.94,56.87334
4.921429,6.25,49.78571,26.12857,1012.514,61.44286,1.164286,1.342857,234.5,25.4,1009.736,61.25,2.185714,2.807143,135.5,24.04286,1011.143,71.18571,1.073333,1.953333,98.2,25.47333,1010.48,66.62,3.466667,4.440001,143,26.04667,1010.273,56.08667
3.173333,4.76,82.86667,26.04667,1013.053,62.48,1.413333,2.473334,135.6667,25.62,1010.173,59.97333,1.393333,1.84,123.8667,24.1,1011.293,71.07333,1.057143,1.892857,218.8571,25.48571,1010.921,66.43571,2.58,3.42,249,26.11334,1010.713,55.96
1.692857,2.771428,74.57143,25.9,1013.421,63.15715,1.885714,2.421429,222.5,25.82143,1010.464,60.07857,1.507143,1.964286,131.1429,24.1,1011.379,71.04286,1.364286,1.45,230.2857,25.42857,1011.236,66.65715,2.066667,2.333333,127.9333,26.2,1011.047,56.77333
1.478571,2.192857,177,25.81428,1013.586,63.69285,2.885714,3.921429,221,25.59286,1010.543,60.4,0.85,1.164286,188.1429,24.01428,1011.343,71.27144,1.778571,2.185714,216.2143,25.37143,1011.3,66.71428,2.446666,2.86,232.6,26.2,1011.167,57.28
1.157143,1.907143,120,25.8,1013.85,63.95,1.292857,2.235714,175.5,25.55714,1010.7,60.77857,1.8,2.342858,296.6429,23.58571,1011.364,71.94286,2.053334,2.673333,216.8667,25.21334,1011.4,67.10667,2.233333,2.553333,141.7333,26.10667,1011.313,57.78001
1.34,1.913333,113.4,25.76,1013.9,63.82,1.166667,2.206667,216.2,25.26,1010.8,61.64666,1.966667,2.22,233.6,23.16,1011.42,73.44001,1.328572,2.114285,230.5,24.92143,1011.521,67.85714,2.346667,2.72,89.2,26.00667,1011.4,57.95333
1.464286,2.235714,179.2857,25.8,1013.922,64,1.55,2.457143,148.3571,25.27857,1010.821,62.02143,2.742857,3.007143,206,22.80714,1011.593,74.82857,1.4,1.592857,256.7857,24.9,1011.564,68.03572,4.073333,4.213333,278.8,26,1011.433,58.11333
2.278571,3.057143,306.7143,25.74286,1013.95,63.10714,2.407143,2.878572,314.7857,25.27857,1010.879,62.17143,2.421428,2.864285,200.7143,22.70714,1011.65,75.03571,1.933334,2.373333,281.0667,24.94667,1011.553,68.54001,4.186666,4.6,335.4667,25.87333,1011.493,58.15333
0.8999999,1.5,216.1333,25.74666,1014.107,63.73334,1.786667,2.366666,295.6,25.26,1011.007,62.80667,2.073333,2.38,198.6,22.78,1011.607,75.07999,0.9714287,1.564286,199.4286,24.81429,1011.743,69.61428,1.946667,2.946666,314.5333,25.72667,1011.613,58.38668
1.064286,1.585714,252,25.7,1014.193,63.7,1.407143,2,301,25.07857,1011.1,63.67858,2.142857,2.45,203.2143,22.8,1011.528,75.02143,1.25,1.835714,235.8571,24.7,1011.793,70.17857,0.76,0.9533331,310.7333,25.64667,1011.7,58.56
1.264286,1.578571,164.8571,25.60715,1014.229,64.45,1.357143,1.807143,295.2143,24.9,1011.1,64.44285,2.114286,2.657143,207.0714,22.8,1011.579,75.22143,1.392857,1.792857,227.7143,24.55,1011.814,70.68571,0.8800001,1.1,270.1333,25.54667,1011.733,59.2
1.064286,1.507143,125.4286,25.52143,1014.264,64.72143,1.192857,1.407143,285.2143,24.85714,1011.164,64.90714,0.6785714,1.178571,176.0714,22.89285,1011.5,75.12142,1.74,2.12,231.6667,23.98,1011.873,72.67333,1.4,1.533333,245.2,25.48667,1011.78,59.92667
1.406667,1.76,147.0667,25.34667,1014.32,65.95333,1.086667,1.426667,309.5333,24.78,1011.2,65.22,0.4333333,0.7266666,198.1333,22.98667,1011.627,74.56667,1.642857,2.221429,254.4286,23.87857,1011.857,73.3,1.253333,1.54,107.4667,25.4,1011.8,60.46667
1.564286,2.021429,112,25.08571,1014.321,67.42143,1.214286,1.335714,343.4286,24.65,1011.143,65.82858,0.7214287,0.9928573,148.2857,22.90714,1011.714,75.12142,1.578571,1.864286,255.8571,23.89285,1011.814,73.32857,1.706667,1.76,17.53333,25.32666,1011.8,61.14667
1.064286,1.642857,132.5714,24.96428,1014.3,68.04285,1.635714,1.957143,319.5714,24.37143,1011.164,67.09286,0.4857143,0.55,174,22.95714,1011.7,74.97857,1.546667,1.853333,236.7333,23.68,1011.86,74.43333,1.446667,1.913333,85.2,25.19333,1011.8,61.81334
1.146667,1.386667,215.7333,24.9,1014.32,68.64668,1.606666,2.093333,306.6,23.99333,1011.153,68.26667,0.6733333,0.9333333,214.2667,22.89333,1011.74,75.26667,2.3,2.435714,250.9286,23.40714,1011.871,75.82143,0.5466667,0.7733333,155.4667,25.04667,1011.787,62.22667
1.742857,2.15,107,24.9,1014.307,69.07143,1.864286,2.35,308.2857,23.67143,1011.1,69.52143,0.4357143,0.5785714,178.0714,22.80714,1011.75,75.4,2.55,2.885714,237.7143,23.20714,1011.829,77.01428,0.6133333,0.6666666,236.5333,24.89333,1011.713,62.6
1.114286,1.642857,150.8571,24.9,1014.457,69.06429,1.164286,1.871428,285.0714,23.39285,1011.186,70.64286,0.5928572,0.75,100.8571,22.74285,1011.7,75.96429,2.114286,2.528572,228.6429,22.97857,1011.922,77.87858,1.5,1.526667,279.6,24.67333,1011.86,63.31334
0.8285714,1.314286,117.5714,24.9,1014.386,69.03571,1.521429,1.892857,298.9286,23.21428,1011.079,71.53571,0.8214286,0.9714286,81.92857,22.7,1011.571,76.1,2.386667,3.1,242.1333,22.98,1011.8,77.24,1.213333,1.526667,282.6,24.54667,1011.767,64.43334
0.9600001,1.513333,43.73333,24.9,1014.22,69.48,1.253333,1.953333,304.8667,23.2,1010.94,72.12666,1.013333,1.346667,73.93333,22.54667,1011.44,76.90667,1.792857,2.485714,227.7857,23.1,1011.671,76.82143,1.02,1.113333,280.3333,24.39333,1011.627,64.94667
1.778571,2.271429,77.78571,24.9,1014.128,70.22143,1.357143,2.178571,296.4286,23.19286,1010.793,72.1,1.164286,1.471429,93.35714,22.47143,1011.414,77.40001,1.385714,1.892857,236.9286,23.14286,1011.557,77.2,1.106667,1.38,285.7333,24.17333,1011.493,65.55333
1.457143,2.114286,67,24.9,1014.078,71.04285,0.95,1.628572,225.4286,23.1,1010.75,72.45,2.085714,2.235714,184.2143,22.39286,1011.55,77.56428,1.84,2.04,228.4,23.22667,1011.493,76.62,1.753333,1.853333,262.8667,24.04667,1011.4,66.23334
2.18,2.8,60.86666,24.98667,1014.107,71.71334,0.8333334,1.273333,209.9333,22.98,1010.733,73.08,0.9733333,1.58,172.3333,22.44,1011.573,77.95334,1.871428,2.228572,218.7857,23.17143,1011.4,76.92143,1.813333,2.293333,243.6667,23.89333,1011.4,66.71334
