#1.WindSpeed,#1.WindSpeedMax,#1.WindDirection,#1.AirTemperature,#1.AirPressure,#1.AirHumidity,#5.WindSpeed,#5.WindSpeedMax,#5.WindDirection,#5.AirTemperature,#5.AirPressure,#5.AirHumidity,#10.WindSpeed,#10.WindSpeedMax,#10.WindDirection,#10.AirTemperature,#10.AirPressure,#10.AirHumidity,#14.WindSpeed,#14.WindSpeedMax,#14.WindDirection,#14.AirTemperature,#14.AirPressure,#14.AirHumidity,#18.WindSpeed,#18.WindSpeedMax,#18.WindDirection,#18.AirTemperature,#18.AirPressure,#18.AirHumidity
2.307143,3.4,278.7857,0.6142856,1028.543,83.00715,1.85,2.792857,265.1429,0,1027,74.49286,1.735714,1.928571,240.2143,-2.207143,1027.786,79.02142,2.58,2.98,238.8,-0.22,1027.767,80.3,2.84,2.893333,287.0667,0.1,1027.7,71.67333
2.142857,3.1,279.7143,0.4642858,1028.593,83.04285,1.721429,2.507143,278,0,1027,74.29285,1.864286,2.05,244.0714,-2.35,1027.75,78.94286,2.842857,3.3,232.1429,-0.1785714,1027.7,79.92142,2.646667,2.913333,289.6,0.1,1027.7,71.42667
2.226667,3.313334,272.7333,0.3933334,1028.607,83.26665,0.92,1.813333,239.8667,-0.02666667,1027.033,73.96667,1.66,1.84,221.2,-2.613334,1027.793,79.28,3.228571,3.485714,223.0714,0.05,1027.736,78.5,2.373333,2.6,281,0.1,1027.727,71.3
1.807143,3.578572,270.3571,0.3,1028.6,83.11428,0.6428571,1.157143,255,-0.1857143,1027.007,74.13572,1.985714,2.171428,230.1429,-2.642857,1027.865,80.55,2.62,2.94,215.8667,0.44,1027.7,76.21333,1.793333,1.946667,268.6667,0.07333335,1027.734,71.28
1.442857,2.392857,285.7143,0.3357143,1028.6,83.37142,0.7,1.264286,271.7857,-0.2,1027,73.93572,2.2,2.3,217.4286,-2.257143,1027.9,81.22143,2.128571,2.364285,224.3571,0.6999999,1027.778,74.1,1.673333,1.826666,276.8,0,1027.7,71.29334
2.071429,3.064286,272.1429,0.45,1028.6,83.43572,0.8,1.313333,267.2667,-0.2,1027.007,73.53333,2.033333,2.36,217.8667,-1.506666,1027.9,80.68666,2.771429,3.071429,231.8571,0.3571428,1027.8,73.73571,2.253333,2.5,279.6,0,1027.7,71.51333
1.886667,2.966666,263.2,0.4000001,1028.6,83.19334,0.9785714,1.678571,287.5,-0.2357143,1027.007,73.54285,1.614286,1.75,219.2857,-1.6,1027.871,78.37142,2.978571,3.457143,230.6429,0.01428572,1027.786,74.86428,2.72,2.866666,284.4667,0.05333333,1027.7,71.39334
1.607143,2.385714,275.2143,0.4214286,1028.614,82.82858,1.642857,2.171428,279.7143,-0.02142857,1027,73.68571,1.207143,1.428571,225.2857,-1.535714,1027.8,79.7,3.053333,3.62,225.0667,-0.12,1027.7,76.3,2.133333,2.393333,288.8667,0.2,1027.7,71.08667
2.735714,3.628572,288.2143,0.5,1028.593,82.22144,1.428571,1.892857,305.1429,0.07142858,1027,72.72858,1.007143,1.185714,253.3571,-1.457143,1027.8,77.74287,2.771429,3.235714,232.0714,-0.07857143,1027.7,76.68572,1.926667,2,290.8667,0.2,1027.7,70.82667
3.65,4.607143,287.7143,0.3857144,1028.521,81.71429,0.9,1.473333,247.2667,0.02666667,1027,72.71334,1.873333,1.953333,243.1333,-2.546667,1027.8,77.03333,2.778572,3.142857,240.7857,-0.02857143,1027.7,76.2,2.038462,2.246154,291.8462,0.2769231,1027.7,70.76923
3.386666,4.513333,285.4,0.4000001,1028.507,81.62,1.607143,2.135714,299.3571,0.007142857,1027,72.34286,1.664286,1.8,241.5714,-2.992857,1027.743,78.79286,2.726667,3.073334,242.8,-0.1933334,1027.7,76.98666,2.426667,2.493333,280.6667,0.3,1027.673,70.57334
3.935714,4.992857,294.2857,0.3357143,1028.5,82.02856,1.407143,1.814286,309.2143,0,1026.95,72.31429,1.914286,2.064286,253.9286,-3.142857,1027.729,79.75715,2.828571,2.957143,247.7857,-0.1785714,1027.693,77.48572,1.713333,2.093333,301.1333,0.3133333,1027.6,70.09335
3.65,4.264286,291.5,0.2071429,1028.457,82.12144,1.926667,2.206666,306.9333,-0.04666667,1026.9,73.00667,1.953333,2.04,249.0667,-2.98,1027.7,79.85332,2.085714,2.457143,256.5714,-0.2142857,1027.629,77.31428,1.863636,2.427273,304.0909,0.2454545,1027.6,70.01819
4.133333,5.053333,293.2,-0.04,1028.487,82.98666,2.328572,2.964285,310.7143,-0.03571429,1026.907,73.23572,1.864286,2.071429,248.3571,-3.178572,1027.7,80.12142,2,2.221429,243.7857,-0.4,1027.7,77.65714,1.006667,1.273333,300.5333,0.1066667,1027.6,70.01999
4.85,5.771429,291.3571,-0.1214286,1028.429,83.37858,1.9,2.835714,308.5714,-0.2,1026.9,73.61428,2.107143,2.307143,231.5,-3.157143,1027.7,80.54285,2.92,3.146667,245.8,-0.6799999,1027.7,78.55334,1.2,1.233333,302.6667,0,1027.6,70.38
4.464286,5.335715,287.6429,-0.25,1028.4,83.85,2.192857,3.035714,284.5,-0.3642857,1026.893,73.73572,2.192857,2.307143,220.5714,-2.914286,1027.607,81.14285,2.628571,3.235714,241.7857,-0.6285715,1027.621,79.60714,1.7,1.793333,305.2667,-0.07333335,1027.593,70.60666
4.578571,5.492857,287.5,-0.1857143,1028.336,84.22858,1.853333,3.433334,290.8,-0.46,1026.8,74.20667,2.64,2.8,221.8,-2.38,1027.573,80.88,3.007143,3.421428,255.5,-0.6,1027.6,80.59286,2.061538,2.469231,291.5385,-0.2307692,1027.5,70.5923
3.266667,4.726667,291.7333,-0.2,1028.3,84.68668,1.685714,2.828571,301.7857,-0.5285714,1026.8,75.3,2.371429,2.678571,220.1429,-2.242857,1027.5,79.85713,2.873333,3.266667,257.2,-0.6,1027.6,81.6,2.693333,2.84,292.2667,-0.3,1027.5,70.74667
3.085714,4.342857,290.4286,-0.1928572,1028.3,85.07856,1.885714,2.885715,282.9286,-0.5357143,1026.8,76.10714,2.128571,2.335715,214.2143,-2.464286,1027.5,80.33572,3.107143,3.607143,248.1429,-0.6,1027.543,82.12142,3.12,3.16,285.0667,-0.3666667,1027.5,71.15334
2.528571,4.392858,300,-0.1357143,1028.3,84.84286,1.593333,2.426667,288.0667,-0.6199999,1026.747,77.06001,2.642857,2.828571,218.3571,-1.828572,1027.429,81.41429,2.714285,3.221428,242.3571,-0.6714285,1027.472,81.95,3.086667,3.42,287.8667,-0.3133334,1027.493,71.59333
3.213333,5.140001,293.0667,-0.26,1028.207,84.38667,1.735714,2.5,302.7857,-0.6999999,1026.7,77.26428,2.46,2.706667,219.6667,-1.306667,1027.4,80.22667,2.385714,2.907143,240.2143,-0.8785714,1027.4,82.3,2.933333,3.12,292.7333,-0.3466667,1027.4,71.88
3.178571,3.735714,293.0714,-0.2642857,1028.2,83.87144,1.964286,2.521428,276.1429,-0.8000001,1026.628,77.74286,1.957143,2.242857,222.7857,-1.178571,1027.4,78.66429,2.326667,2.62,253.1333,-1,1027.4,82.45333,2.18,2.646667,296,-0.4266667,1027.353,72.16666
3.928571,4.628572,295.1429,-0.3214286,1028.2,83.47144,1.978572,2.742857,306.1429,-0.8000001,1026.693,78.09285,2.435714,2.592857,230.5714,-1.592857,1027.4,77.95715,2.785715,2.957143,246.7857,-1,1027.429,82.52143,2.372727,2.7,297.0909,-0.5,1027.336,72.65454
3.964286,4.557143,287.9286,-0.4785714,1028.2,83.70715,2.093333,2.92,308.2,-0.7533333,1026.7,78.17334,2.886667,3.086667,223.4,-1.713333,1027.4,79.09334,2.864286,3.285715,247.5,-0.9071427,1027.486,82.02143,2.313333,2.533333,292.6667,-0.5,1027.4,72.91334
3.333333,4.8,288.8,-0.5,1028.2,83.99332,1.735714,2.928571,300,-0.8571428,1026.7,78.17857,3.271429,3.407143,226.2143,-1.135714,1027.4,78.75,2.946666,3.32,245.2667,-0.8999999,1027.473,81.82,2.553333,2.766667,289.4667,-0.5,1027.4,73
3.292857,4.757143,289.7857,-0.3785715,1028.2,84.27856,1.7,2.7,304.9286,-0.8428571,1026.686,77.93572,3.992857,4.135715,231.8571,-0.8571429,1027.4,76.94286,2.764286,3.157143,234.8571,-0.8999999,1027.407,81.75714,2.663636,2.918182,288.6364,-0.5818182,1027.391,73.11819
